Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
3277,Completed,Has Results,Other Acute Diseases & Covid-19,Drug,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2020,Argentina
3278,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Spain
3279,Recruiting,No Results Available,Mental Health,Diagnostic Test,All,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2020,2021,Egypt
3280,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2021,2021,Others
3281,Recruiting,No Results Available,Cancer & Covid-19,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2022,Germany
3282,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others & Industry,Interventional,2021,2021,United States of America
3283,Recruiting,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2022,Denmark
3284,Completed,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Turkey
3285,Completed,No Results Available,Pregnancy & Covid-19,Others,Female,Adults & Older Adults,,10001-50k persons,Industry & Others,Observational,2020,2020,United States of America
3286,Completed,No Results Available,ARDS & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,United Kingdom
3287,"Active, not recruiting",No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,5001-10k persons,Others Only,Observational,2020,2022,United States of America
3288,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,100001-1M persons,Others & Industry,Observational,2020,2030,United States of America
3289,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Spain
3290,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
3291,Recruiting,No Results Available,Others,Biological,Female,Adults Only,,101-200 persons,Others Only,Observational,2021,2022,Israel
3292,Recruiting,No Results Available,Covid-19 Only,,All,Children Only,,501-600 persons,Others Only,Observational,2020,2021,France
3293,Not yet recruiting,No Results Available,Pneumonia & Covid-19,Behavioral,All,Older Adults Only,Not Applicable,501-600 persons,Others Only,Interventional,2021,2030,United States of America
3294,Completed,No Results Available,Other Acute Diseases & Covid-19,Procedural,All,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2019,2020,United Kingdom
3295,No longer available,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,,Others Only,Expanded Access,,,United States of America
3296,"Active, not recruiting",No Results Available,Cancer & Covid-19,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,France
3297,Not yet recruiting,No Results Available,ARDS & Covid-19,Drug,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Others
3298,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
3299,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others & Industry,Interventional,2020,2021,Brazil
3300,"Active, not recruiting",No Results Available,Anxiety,,All,Adults & Older Adults,,5001-10k persons,NIH Only,Observational,2020,2022,United States of America
3301,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,India
3302,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Italy
3303,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Device,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2018,2020,United States of America
3304,Recruiting,No Results Available,Covid-19 Only,Dietary Supplement,Female,Adults & Older Adults,Not Applicable,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
3305,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2020,Others
3306,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,United States of America
3307,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,301-400 persons,Others & Industry,Interventional,2020,2021,Brazil
3308,"Active, not recruiting",No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,501-600 persons,Others Only,Interventional,2020,2021,United States of America
3309,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2021,2022,United States of America
3310,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,401-500 persons,Others Only,Interventional,2020,2020,Russia
3311,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Others
3312,Not yet recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Industry Only,Interventional,2021,2023,Others
3313,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2021,Others
3314,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2021,France
3315,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2021,2021,Others
3316,Recruiting,No Results Available,Cardio Diseases & Covid-19,Drug,All,Older Adults Only,Phase 3,1001-5k persons,Others Only,Interventional,2021,2022,Canada
3317,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,United States of America
3318,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Others
3319,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2022,United States of America
3320,"Active, not recruiting",No Results Available,Thrombosis & Covid-19,Others,All,"Children, Adults & Older Adults",,100001-1M persons,Others Only,Observational,2020,2021,United Kingdom
3321,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,201-300 persons,Others Only,Interventional,2020,2021,Egypt
3322,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,Germany
3323,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2021,United Kingdom
3324,Not yet recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Italy
3325,Recruiting,No Results Available,Cardio Diseases & Covid-19,Others,All,"Children, Adults & Older Adults",,1-100 persons,Industry Only,Observational,2020,2020,Others
3326,Terminated,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2020,United States of America
3327,Completed,No Results Available,Others,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Brazil
3328,Recruiting,No Results Available,Infection Viral,,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,France
3329,Completed,No Results Available,Others,Procedural,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Italy
3330,Recruiting,No Results Available,Cardio Diseases & Covid-19,Diagnostic Test,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2021,2022,United States of America
3331,Terminated,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,1-100 persons,Others Only,Interventional,2020,2020,Israel
3332,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2021,France
3333,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2022,Korea
3334,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others & Industry,Interventional,2020,2021,Others
3335,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Dietary Supplement,All,Adults Only,Not Applicable,801-900 persons,Others Only,Interventional,2020,2021,United Kingdom
3336,Enrolling by invitation,No Results Available,AKI & Covid-19,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2023,United States of America
3337,Recruiting,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Belgium
3338,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Brazil
3339,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,101-200 persons,Others Only,Interventional,2021,2021,Brazil
3340,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,Spain
3341,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Industry Only,Interventional,2020,2022,Germany
3342,Enrolling by invitation,No Results Available,Other Acute Diseases & Covid-19,Behavioral,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2021,Others
3343,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2020,France
3344,Enrolling by invitation,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others & NIH,Observational,2021,2021,United States of America
3345,Enrolling by invitation,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2022,Russia
3346,Suspended,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults Only,Phase 3,201-300 persons,Others Only,Interventional,2020,2021,Indonesia
3347,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 3,1001-5k persons,Industry Only,Interventional,2020,2022,Germany
3348,Recruiting,No Results Available,Other Chroninc Diseases & Covid-19,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2025,Germany
3349,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1001-5k persons,Others Only,Interventional,2020,2021,Argentina
3350,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,"Children, Adults & Older Adults",,Above 1M persons,Others Only,Observational,2021,2022,France
3351,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2021,2021,United States of America
3352,Recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2022,Denmark
3353,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2 & Phase 3,10001-50k persons,Industry & Others,Interventional,2021,2022,Italy
3354,Completed,No Results Available,ARDS & Covid-19,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2020,United States of America
3355,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others & Industry,Interventional,2020,2021,United States of America
3356,Recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Phase 2,401-500 persons,Others Only,Interventional,2020,2021,Canada
3357,Withdrawn,No Results Available,ARDS & Covid-19,Drug,All,Adults & Older Adults,Phase 2,0 persons,Others Only,Interventional,2020,2021,Others
3358,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others & Industry,Interventional,2020,2021,Germany
3359,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults Only,Phase 1 & Phase 2,101-200 persons,Industry Only,Interventional,2020,2022,Korea
3360,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,Brazil
3361,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,10001-50k persons,Others Only,Observational,2020,2020,Others
3362,Not yet recruiting,No Results Available,Covid-19 Only,,All,Children Only,,201-300 persons,Others Only,Observational,2021,2021,France
3363,Recruiting,No Results Available,Cardio Diseases & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,France
3364,"Active, not recruiting",No Results Available,Covid-19 Only,Others,Male,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Israel
3365,Not yet recruiting,No Results Available,Infection Viral,Drug,All,Adults & Older Adults,Phase 3,401-500 persons,Others Only,Interventional,2020,2020,Others
3366,Not yet recruiting,No Results Available,Other Acute Diseases & Covid-19,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Others
